tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_9_ternak;jml_utp_usaha_total_10_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_999_ternak;jml_utp_usaha_total_1000_4999_ternak;jml_utp_usaha_total_5000_9999_ternak;jml_utp_usaha_total_10000_more_ternak
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4308;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4309;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4310;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4311;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4312;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310050] KEWAPANTE;53;5310;5310050;1;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310071] MAGEPANDA;53;5310;5310071;1;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310081] ALOK BARAT;53;5310;5310081;0;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4401;[5310] SIKKA;53;5310;5310999;2;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310010] PAGA;53;5310;5310010;2;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310020] LELA;53;5310;5310020;1;2;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310030] BOLA;53;5310;5310030;3;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310032] MAPITARA;53;5310;5310032;9;11;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310040] TALIBURA;53;5310;5310040;5;4;1;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310041] WAIGETE;53;5310;5310041;5;4;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310042] WAIBLAMA;53;5310;5310042;8;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310050] KEWAPANTE;53;5310;5310050;4;0;1;2;1;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310051] HEWOKLOANG;53;5310;5310051;8;8;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310052] KANGAE;53;5310;5310052;3;3;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4402;[5310062] KOTING;53;5310;5310062;4;1;1;0;0;0;0;0;0
