tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_2_ternak;jml_utp_usaha_total_3_4_ternak;jml_utp_usaha_total_5_9_ternak;jml_utp_usaha_total_10_19_ternak;jml_utp_usaha_total_20_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_or_more_ternak
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310052] KANGAE;53;5310;5310052;15;2;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310062] KOTING;53;5310;5310062;5;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310063] NELLE;53;5310;5310063;7;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310070] NITA;53;5310;5310070;28;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310071] MAGEPANDA;53;5310;5310071;60;10;2;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310080] ALOK;53;5310;5310080;8;2;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310081] ALOK BARAT;53;5310;5310081;12;3;1;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310082] ALOK TIMUR;53;5310;5310082;10;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310] SIKKA;53;5310;5310999;250;25;3;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310010] PAGA;53;5310;5310010;191;58;20;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310011] MEGO;53;5310;5310011;340;71;27;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310012] TANA WAWO;53;5310;5310012;261;62;14;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310020] LELA;53;5310;5310020;79;29;7;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310030] BOLA;53;5310;5310030;170;43;6;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310031] DORENG;53;5310;5310031;176;38;7;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310032] MAPITARA;53;5310;5310032;108;48;9;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310040] TALIBURA;53;5310;5310040;458;180;100;12;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310041] WAIGETE;53;5310;5310041;276;83;48;7;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;101;39;12;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;161;40;10;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;28;6;0;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;239;65;20;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;5;1;2;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;16;4;2;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310070] NITA;53;5310;5310070;37;12;1;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310071] MAGEPANDA;53;5310;5310071;246;109;37;2;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310080] ALOK;53;5310;5310080;6;3;2;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310081] ALOK BARAT;53;5310;5310081;82;56;46;12;4;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310082] ALOK TIMUR;53;5310;5310082;68;29;20;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310] SIKKA;53;5310;5310999;3048;976;390;47;9;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310010] PAGA;53;5310;5310010;418;45;47;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310011] MEGO;53;5310;5310011;485;75;18;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310012] TANA WAWO;53;5310;5310012;297;68;24;7;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310020] LELA;53;5310;5310020;388;54;28;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310030] BOLA;53;5310;5310030;608;52;39;8;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310031] DORENG;53;5310;5310031;538;82;40;5;1;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310032] MAPITARA;53;5310;5310032;274;68;32;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310040] TALIBURA;53;5310;5310040;914;150;76;17;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310041] WAIGETE;53;5310;5310041;819;121;56;9;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310042] WAIBLAMA;53;5310;5310042;287;41;15;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310050] KEWAPANTE;53;5310;5310050;468;89;67;21;5;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310051] HEWOKLOANG;53;5310;5310051;399;32;14;3;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310052] KANGAE;53;5310;5310052;820;176;84;38;6;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310061] PALUE;53;5310;5310061;296;19;7;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310062] KOTING;53;5310;5310062;260;33;11;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310063] NELLE;53;5310;5310063;335;52;12;5;3;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310070] NITA;53;5310;5310070;743;124;41;17;1;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310071] MAGEPANDA;53;5310;5310071;556;134;71;19;4;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310080] ALOK;53;5310;5310080;573;152;75;20;5;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310081] ALOK BARAT;53;5310;5310081;486;117;84;33;7;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310082] ALOK TIMUR;53;5310;5310082;751;268;124;45;4;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310] SIKKA;53;5310;5310999;10715;1952;965;260;42;4;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
